name,genre,link,start_time,end_time
jnab_settat_v2,3ayta,https://youtu.be/zbxOJZypBZU,29,
3awniat_3ayti_lih,3awniat,https://www.youtube.com/watch?v=ZPDPYbDB8RA,,147
3awniat_9arab_yawlidi,3awniat,https://youtu.be/6ajkWKt47H8?list=RD6ajkWKt47H8&t=66,0,158
wa3di,maghribi_classic,https://youtu.be/iZJLunChmAA,,,
yamkn_faytli_cheftk,maghribi_classic,https://www.youtube.com/watch?v=cV7TXFua-dE,,,
yalli_sourtek,maghribi_classic,https://www.youtube.com/watch?v=Jf_9ghpTFEU,,,
mana_illa_bachar,maghribi_classic,https://youtu.be/KfJ2oeuBO44,3,280,
ya_lghadi_ftomobil,maghribi_classic,https://www.youtube.com/watch?v=oXTJss9Us_o,10,280,
do3a2_nasiri_chenouani,anachid,https://youtu.be/tgHtPpduHOY,,292
nejma_fo9ara,anachid,https://youtu.be/kmZO6og7Icc,,167
borda_maghribi,anachid,https://youtu.be/kmZO6og7Icc,7,,
nassiri_maghribi,anachid,https://youtu.be/MmfPwVa6ArA,,,
jnab_settat_v1,3ayta,https://youtu.be/zbxOJZypBZU,45,, 
indila_mini_world,western,https://www.youtube.com/watch?v=suRElMxSzMU,9,306
ya_liam_miloudi,chaabi_3roubi,https://www.youtube.com/watch?v=iZzGsAR6_HU,,
sahbi_daoudia,chaabi_3roubi,https://www.youtube.com/watch?v=vy-fd-0YjU0,,225
lwad_lwad,3ayta,https://youtu.be/lIkQ0yrsYaY,7,,
jalini_mahfoudi,3ayta,https://www.youtube.com/watch?v=mYEbQ4KWB0g,5,,
kharboucha_essoufi,3ayta,https://www.youtube.com/watch?v=GhexQb9dCcs,41,
jalini_daoudi,3ayta,https://youtu.be/JBpDjxqFha4,27,478,
baba_salh,swaken,https://www.youtube.com/watch?v=gqozHNbnXe0,,,
doukala_t3jb,3awniat,https://youtu.be/ABGrx9TnLuE,,99
za3ri_fatin,3ayta,https://www.youtube.com/watch?v=DMXLYrD11Ks,7,,
amin_ya9ina,enthousiastic,https://youtu.be/tZLDEUFtnX0?list=RDtZLDEUFtnX0&t=5,,,
lmoussem_bouchnak,nostalgic,https://www.youtube.com/watch?v=JjGQzwSZohU,,,
ya_lili_ammor,ray,https://youtu.be/UtYwvgLrM3U,13,,
achof_jamal_el2amar,tarab,https://www.youtube.com/watch?v=nBwlJjZ8QGg,,,
bahibak_yasahbi,tarab,https://www.youtube.com/watch?v=WWd2pDglrDw,21,,
waldi_mardi,3awniat,https://youtu.be/O1r2jPM3GSI,13,243,
we_wanna,western,https://youtu.be/MoXY07NHnXQ,,,
mix_echo,comedy,https://youtu.be/iAIslMy69F4,,,
lghaba,chaabi_3roubi,https://youtu.be/bNgwA-Nk_1o,,,
zaa3ri,3ayta,https://youtu.be/Lc5qNvYeM4k,41,,
