name
Prof. Salah ER-RAKI, 
Prof. Mohamed Hakim KHARROU, 
Prof. Hasan KARJOUN, 
Dr. Youness OUASSANOUAN, 
Prof. Mohamed Hakim KHARROU, 
Prof. Younes FAKIR,
Dr. Mohamed Wassim BABA, 
Dr. Badr-eddine SEBBAR, 
Prof. Olivier MERLIN, 
Prof. Vincent SIMONNEAUX,
Prof. Driss DHIBA,
Mrs. Laura SOURP, 
Mrs. Oumaima KAISSI, 
Prof. Abdelhakim AMAZIRH, 
Prof. El houssaine BOURAS,
Mrs. Jihad R’BAITI, 
Prof. Youssef HMAMOUCHE, 
Prof. Amal EL FALLAH SEGHROUCHNI
Dr. Ayman NAIM, 
Dr. Said SAADANI
Prof. Hamza Ouatiki
Prof. Dara Entekhabi
